t-SNE Dimension 1,t-SNE Dimension 2
1.1113839,1.6345649
1.4306105,-10.701679
7.8047547,-15.231627
0.7245379,-1.045285
-11.755697,14.443746
-12.671279,15.0497875
-2.757438,-8.49555
-8.585119,18.578722
-4.3584156,-6.3170485
-15.827081,20.707382
-19.262457,10.984842
-19.740171,-3.3441598
-16.864264,-13.913355
-23.550245,-5.062423
-23.965975,5.1357155
-5.193994,-24.290668
-12.528222,-26.132427
4.6400023,26.221859
-2.5836804,22.635246
-15.787223,-0.0013894547
-1.3219247,-27.658
-11.141622,-13.372032
-6.207391,-18.45022
8.228246,24.61805
-10.451121,-9.579861
-6.4666343,-10.368108
-11.903016,1.2043151
-9.466265,-11.737876
-7.8178577,0.95440495
-4.380921,11.966765
1.3513726,-27.579546
5.9089174,18.095657
-1.6928502,15.849373
-8.496248,-7.7065434
-2.3430133,4.366127
0.6798237,-23.014288
-0.03924864,-25.893593
-11.032208,7.6164865
-2.760916,15.908786
-10.947807,-9.715613
-6.0592504,-18.20652
-2.5503068,19.75675
12.757822,26.895481
-9.53633,-6.9187255
-18.63527,14.975519
-19.374748,17.94686
-11.919226,1.1061248
-10.884991,-8.649955
-4.0220895,15.637163
-1.8219867,20.429298
-12.835309,-9.349551
3.5200315,23.875854
-10.514544,-4.166528
-10.134394,-24.159113
-9.828744,-3.3610806
-11.950623,-12.832048
-10.576674,-23.866692
-16.730997,19.429407
-3.8370287,23.955893
-15.985874,8.899735
-11.801965,23.821611
-9.247845,23.715757
-25.185633,6.071896
-19.806171,-10.362685
-13.619364,-20.525732
-23.755142,12.218429
-12.673604,28.845257
-9.409975,27.75184
-20.860292,4.9990067
-19.973763,6.5191627
-23.291958,-9.285359
-21.544678,10.311328
-24.76231,15.655752
-18.31286,22.254982
-16.544575,-6.919831
-20.690847,0.22452559
-24.563467,6.4970613
-19.609194,4.4914846
-24.835178,6.712874
-13.155865,-24.580101
-17.58504,6.306899
-20.400593,12.196248
-14.321276,-12.283382
-3.4010212,-20.02284
-5.418693,-12.78719
-5.3169737,-13.062053
-0.64032835,21.648788
-7.314378,-11.888997
-9.8068075,-5.6209536
-11.56671,-8.655333
-11.110866,-3.2889984
-12.315012,8.211569
-0.88267344,-27.590786
-8.62045,-18.862638
-9.514506,-20.334446
-13.875463,-2.0796196
-12.655244,8.987171
-13.302958,-12.690825
-6.036763,21.695602
-8.490749,-21.982557
-13.176211,23.007095
-13.151059,25.515877
-6.31363,22.52957
-20.821081,6.2951794
-20.22134,-17.613676
-23.783957,11.041186
-9.861135,-26.973093
-20.859325,-14.065865
-19.780014,-8.63962
-25.691963,4.4623213
-22.344582,4.45085
-26.501713,4.077262
-23.018473,-8.0230465
-9.490523,27.090403
-10.393262,-21.876793
-21.282532,-13.523016
-20.992296,-14.044007
-19.636913,-9.424513
-5.3831444,-27.376112
-19.99478,-15.922028
-22.70678,7.839574
-5.14475,-28.763245
-22.227556,10.420437
-13.118303,28.38789
-17.538404,-14.152301
-13.086751,-27.141476
-6.815401,-23.630669
-9.41576,21.90403
-18.182344,-16.030563
-8.41621,23.467585
-16.96742,22.105846
-10.851846,23.40519
-18.800232,2.8517764
-4.292487,-28.578318
-17.93538,-7.559879
2.6976435,25.160002
-16.932533,15.423982
-3.6226604,-25.586641
-1.6352127,-26.167135
-1.7759866,-25.351093
-9.707213,-14.166111
-13.970652,20.22821
-3.2418125,-21.650223
-8.2643175,-3.4224195
2.1759815,-27.037666
1.1837087,21.603542
2.3063266,21.176561
-4.775772,4.8247886
15.83508,24.28585
14.841703,18.298492
11.414572,-3.7438812
8.389935,-3.4497898
9.475478,-3.1639514
3.7454834,-20.551449
12.553964,15.9875555
10.0597515,-2.1277857
17.7379,23.466038
11.745634,4.802414
11.871984,-2.441157
11.0239935,6.1501846
-2.3686032,6.243913
11.802048,-1.8106735
-5.0233116,4.833745
-6.079453,4.4833975
-10.8375225,-9.193764
-11.1043625,-7.1077323
-9.622329,11.452181
-15.021229,21.132988
3.1780167,25.925787
-18.338976,-3.1508439
-12.809032,-20.417564
-19.38153,-0.84758776
